p cnf 658 2540
6 -18 -112 0
-6 18 -112 0
-6 -18 112 0
59 112 -113 0
59 -112 -113 0
-59 112 -113 0
-59 -112 113 0
59 112 -114 0
59 -112 114 0
-59 112 114 0
-59 -112 -114 0
55 114 -115 0
55 -114 -115 0
-55 114 -115 0
-55 -114 115 0
55 114 -116 0
55 -114 116 0
-55 114 116 0
-55 -114 -116 0
113 115 -117 0
113 -115 117 0
-113 115 117 0
-113 -115 -117 0
7 18 -118 0
7 -18 -118 0
-7 18 -118 0
-7 -18 118 0
62 118 -119 0
62 -118 -119 0
-62 118 -119 0
-62 -118 119 0
62 118 -120 0
62 -118 120 0
-62 118 120 0
-62 -118 -120 0
58 120 -121 0
58 -120 -121 0
-58 120 -121 0
-58 -120 121 0
58 120 -122 0
58 -120 122 0
-58 120 122 0
-58 -120 -122 0
119 121 -123 0
119 -121 123 0
-119 121 123 0
-119 -121 -123 0
8 18 -124 0
8 -18 -124 0
-8 18 -124 0
-8 -18 124 0
65 124 -125 0
65 -124 -125 0
-65 124 -125 0
-65 -124 125 0
65 124 -126 0
65 -124 126 0
-65 124 126 0
-65 -124 -126 0
61 126 -127 0
61 -126 -127 0
-61 126 -127 0
-61 -126 127 0
61 126 -128 0
61 -126 128 0
-61 126 128 0
-61 -126 -128 0
125 127 -129 0
125 -127 129 0
-125 127 129 0
-125 -127 -129 0
9 18 -130 0
9 -18 -130 0
-9 18 -130 0
-9 -18 130 0
68 130 -131 0
68 -130 -131 0
-68 130 -131 0
-68 -130 131 0
68 130 -132 0
68 -130 132 0
-68 130 132 0
-68 -130 -132 0
64 132 -133 0
64 -132 -133 0
-64 132 -133 0
-64 -132 133 0
64 132 -134 0
64 -132 134 0
-64 132 134 0
-64 -132 -134 0
131 133 -135 0
131 -133 135 0
-131 133 135 0
-131 -133 -135 0
10 18 -136 0
10 -18 -136 0
-10 18 -136 0
-10 -18 136 0
71 136 -137 0
71 -136 -137 0
-71 136 -137 0
-71 -136 137 0
71 136 -138 0
71 -136 138 0
-71 136 138 0
-71 -136 -138 0
67 138 -139 0
67 -138 -139 0
-67 138 -139 0
-67 -138 139 0
67 138 -140 0
67 -138 140 0
-67 138 140 0
-67 -138 -140 0
137 139 -141 0
137 -139 141 0
-137 139 141 0
-137 -139 -141 0
11 18 -142 0
11 -18 -142 0
-11 18 -142 0
-11 -18 142 0
74 142 -143 0
74 -142 -143 0
-74 142 -143 0
-74 -142 143 0
74 142 -144 0
74 -142 144 0
-74 142 144 0
-74 -142 -144 0
70 144 -145 0
70 -144 -145 0
-70 144 -145 0
-70 -144 145 0
70 144 -146 0
70 -144 146 0
-70 144 146 0
-70 -144 -146 0
143 145 -147 0
143 -145 147 0
-143 145 147 0
-143 -145 -147 0
12 18 -148 0
12 -18 -148 0
-12 18 -148 0
-12 -18 148 0
77 148 -149 0
77 -148 -149 0
-77 148 -149 0
-77 -148 149 0
77 148 -150 0
77 -148 150 0
-77 148 150 0
-77 -148 -150 0
73 150 -151 0
73 -150 -151 0
-73 150 -151 0
-73 -150 151 0
73 150 -152 0
73 -150 152 0
-73 150 152 0
-73 -150 -152 0
149 151 -153 0
149 -151 153 0
-149 151 153 0
-149 -151 -153 0
13 18 -154 0
13 -18 -154 0
-13 18 -154 0
-13 -18 154 0
80 154 -155 0
80 -154 -155 0
-80 154 -155 0
-80 -154 155 0
80 154 -156 0
80 -154 156 0
-80 154 156 0
-80 -154 -156 0
76 156 -157 0
76 -156 -157 0
-76 156 -157 0
-76 -156 157 0
76 156 -158 0
76 -156 158 0
-76 156 158 0
-76 -156 -158 0
155 157 -159 0
155 -157 159 0
-155 157 159 0
-155 -157 -159 0
14 18 -160 0
14 -18 -160 0
-14 18 -160 0
-14 -18 160 0
81 160 -161 0
81 -160 -161 0
-81 160 -161 0
-81 -160 161 0
81 160 -162 0
81 -160 162 0
-81 160 162 0
-81 -160 -162 0
79 162 -163 0
79 -162 -163 0
-79 162 -163 0
-79 -162 163 0
79 162 -164 0
79 -162 164 0
-79 162 164 0
-79 -162 -164 0
161 163 -165 0
161 -163 165 0
-161 163 165 0
-161 -163 -165 0
15 18 -166 0
15 -18 -166 0
-15 18 -166 0
-15 -18 166 0
1 19 -167 0
1 -19 -167 0
-1 19 -167 0
-1 -19 167 0
92 167 -168 0
92 -167 -168 0
-92 167 -168 0
-92 -167 168 0
92 167 -169 0
92 -167 169 0
-92 167 169 0
-92 -167 -169 0
87 169 -170 0
87 -169 -170 0
-87 169 -170 0
-87 -169 170 0
87 169 -171 0
87 -169 171 0
-87 169 171 0
-87 -169 -171 0
168 170 -172 0
168 -170 172 0
-168 170 172 0
-168 -170 -172 0
2 19 -173 0
2 -19 -173 0
-2 19 -173 0
-2 -19 173 0
98 173 -174 0
98 -173 -174 0
-98 173 -174 0
-98 -173 174 0
98 173 -175 0
98 -173 175 0
-98 173 175 0
-98 -173 -175 0
93 175 -176 0
93 -175 -176 0
-93 175 -176 0
-93 -175 176 0
93 175 -177 0
93 -175 177 0
-93 175 177 0
-93 -175 -177 0
174 176 -178 0
174 -176 178 0
-174 176 178 0
-174 -176 -178 0
3 19 -179 0
3 -19 -179 0
-3 19 -179 0
-3 -19 179 0
104 179 -180 0
104 -179 -180 0
-104 179 -180 0
-104 -179 180 0
104 179 -181 0
104 -179 181 0
-104 179 181 0
-104 -179 -181 0
99 181 -182 0
99 -181 -182 0
-99 181 -182 0
-99 -181 182 0
99 181 -183 0
99 -181 183 0
-99 181 183 0
-99 -181 -183 0
180 182 -184 0
180 -182 184 0
-180 182 184 0
-180 -182 -184 0
4 19 -185 0
4 -19 -185 0
-4 19 -185 0
-4 -19 185 0
110 185 -186 0
110 -185 -186 0
-110 185 -186 0
-110 -185 186 0
110 185 -187 0
110 -185 187 0
-110 185 187 0
-110 -185 -187 0
105 187 -188 0
105 -187 -188 0
-105 187 -188 0
-105 -187 188 0
105 187 -189 0
105 -187 189 0
-105 187 189 0
-105 -187 -189 0
186 188 -190 0
186 -188 190 0
-186 188 190 0
-186 -188 -190 0
5 19 -191 0
5 -19 -191 0
-5 19 -191 0
-5 -19 191 0
116 191 -192 0
116 -191 -192 0
-116 191 -192 0
-116 -191 192 0
116 191 -193 0
116 -191 193 0
-116 191 193 0
-116 -191 -193 0
111 193 -194 0
111 -193 -194 0
-111 193 -194 0
-111 -193 194 0
111 193 -195 0
111 -193 195 0
-111 193 195 0
-111 -193 -195 0
192 194 -196 0
192 -194 196 0
-192 194 196 0
-192 -194 -196 0
6 19 -197 0
6 -19 -197 0
-6 19 -197 0
-6 -19 197 0
122 197 -198 0
122 -197 -198 0
-122 197 -198 0
-122 -197 198 0
122 197 -199 0
122 -197 199 0
-122 197 199 0
-122 -197 -199 0
117 199 -200 0
117 -199 -200 0
-117 199 -200 0
-117 -199 200 0
117 199 -201 0
117 -199 201 0
-117 199 201 0
-117 -199 -201 0
198 200 -202 0
198 -200 202 0
-198 200 202 0
-198 -200 -202 0
7 19 -203 0
7 -19 -203 0
-7 19 -203 0
-7 -19 203 0
128 203 -204 0
128 -203 -204 0
-128 203 -204 0
-128 -203 204 0
128 203 -205 0
128 -203 205 0
-128 203 205 0
-128 -203 -205 0
123 205 -206 0
123 -205 -206 0
-123 205 -206 0
-123 -205 206 0
123 205 -207 0
123 -205 207 0
-123 205 207 0
-123 -205 -207 0
204 206 -208 0
204 -206 208 0
-204 206 208 0
-204 -206 -208 0
8 19 -209 0
8 -19 -209 0
-8 19 -209 0
-8 -19 209 0
134 209 -210 0
134 -209 -210 0
-134 209 -210 0
-134 -209 210 0
134 209 -211 0
134 -209 211 0
-134 209 211 0
-134 -209 -211 0
129 211 -212 0
129 -211 -212 0
-129 211 -212 0
-129 -211 212 0
129 211 -213 0
129 -211 213 0
-129 211 213 0
-129 -211 -213 0
210 212 -214 0
210 -212 214 0
-210 212 214 0
-210 -212 -214 0
9 19 -215 0
9 -19 -215 0
-9 19 -215 0
-9 -19 215 0
140 215 -216 0
140 -215 -216 0
-140 215 -216 0
-140 -215 216 0
140 215 -217 0
140 -215 217 0
-140 215 217 0
-140 -215 -217 0
135 217 -218 0
135 -217 -218 0
-135 217 -218 0
-135 -217 218 0
135 217 -219 0
135 -217 219 0
-135 217 219 0
-135 -217 -219 0
216 218 -220 0
216 -218 220 0
-216 218 220 0
-216 -218 -220 0
10 19 -221 0
10 -19 -221 0
-10 19 -221 0
-10 -19 221 0
146 221 -222 0
146 -221 -222 0
-146 221 -222 0
-146 -221 222 0
146 221 -223 0
146 -221 223 0
-146 221 223 0
-146 -221 -223 0
141 223 -224 0
141 -223 -224 0
-141 223 -224 0
-141 -223 224 0
141 223 -225 0
141 -223 225 0
-141 223 225 0
-141 -223 -225 0
222 224 -226 0
222 -224 226 0
-222 224 226 0
-222 -224 -226 0
11 19 -227 0
11 -19 -227 0
-11 19 -227 0
-11 -19 227 0
152 227 -228 0
152 -227 -228 0
-152 227 -228 0
-152 -227 228 0
152 227 -229 0
152 -227 229 0
-152 227 229 0
-152 -227 -229 0
147 229 -230 0
147 -229 -230 0
-147 229 -230 0
-147 -229 230 0
147 229 -231 0
147 -229 231 0
-147 229 231 0
-147 -229 -231 0
228 230 -232 0
228 -230 232 0
-228 230 232 0
-228 -230 -232 0
12 19 -233 0
12 -19 -233 0
-12 19 -233 0
-12 -19 233 0
158 233 -234 0
158 -233 -234 0
-158 233 -234 0
-158 -233 234 0
158 233 -235 0
158 -233 235 0
-158 233 235 0
-158 -233 -235 0
153 235 -236 0
153 -235 -236 0
-153 235 -236 0
-153 -235 236 0
153 235 -237 0
153 -235 237 0
-153 235 237 0
-153 -235 -237 0
234 236 -238 0
234 -236 238 0
-234 236 238 0
-234 -236 -238 0
13 19 -239 0
13 -19 -239 0
-13 19 -239 0
-13 -19 239 0
164 239 -240 0
164 -239 -240 0
-164 239 -240 0
-164 -239 240 0
164 239 -241 0
164 -239 241 0
-164 239 241 0
-164 -239 -241 0
159 241 -242 0
159 -241 -242 0
-159 241 -242 0
-159 -241 242 0
159 241 -243 0
159 -241 243 0
-159 241 243 0
-159 -241 -243 0
240 242 -244 0
240 -242 244 0
-240 242 244 0
-240 -242 -244 0
14 19 -245 0
14 -19 -245 0
-14 19 -245 0
-14 -19 245 0
166 245 -246 0
166 -245 -246 0
-166 245 -246 0
-166 -245 246 0
166 245 -247 0
166 -245 247 0
-166 245 247 0
-166 -245 -247 0
165 247 -248 0
165 -247 -248 0
-165 247 -248 0
-165 -247 248 0
165 247 -249 0
165 -247 249 0
-165 247 249 0
-165 -247 -249 0
246 248 -250 0
246 -248 250 0
-246 248 250 0
-246 -248 -250 0
15 19 -251 0
15 -19 -251 0
-15 19 -251 0
-15 -19 251 0
1 20 -252 0
1 -20 -252 0
-1 20 -252 0
-1 -20 252 0
177 252 -253 0
177 -252 -253 0
-177 252 -253 0
-177 -252 253 0
177 252 -254 0
177 -252 254 0
-177 252 254 0
-177 -252 -254 0
172 254 -255 0
172 -254 -255 0
-172 254 -255 0
-172 -254 255 0
172 254 -256 0
172 -254 256 0
-172 254 256 0
-172 -254 -256 0
253 255 -257 0
253 -255 257 0
-253 255 257 0
-253 -255 -257 0
2 20 -258 0
2 -20 -258 0
-2 20 -258 0
-2 -20 258 0
183 258 -259 0
183 -258 -259 0
-183 258 -259 0
-183 -258 259 0
183 258 -260 0
183 -258 260 0
-183 258 260 0
-183 -258 -260 0
178 260 -261 0
178 -260 -261 0
-178 260 -261 0
-178 -260 261 0
178 260 -262 0
178 -260 262 0
-178 260 262 0
-178 -260 -262 0
259 261 -263 0
259 -261 263 0
-259 261 263 0
-259 -261 -263 0
3 20 -264 0
3 -20 -264 0
-3 20 -264 0
-3 -20 264 0
189 264 -265 0
189 -264 -265 0
-189 264 -265 0
-189 -264 265 0
189 264 -266 0
189 -264 266 0
-189 264 266 0
-189 -264 -266 0
184 266 -267 0
184 -266 -267 0
-184 266 -267 0
-184 -266 267 0
184 266 -268 0
184 -266 268 0
-184 266 268 0
-184 -266 -268 0
265 267 -269 0
265 -267 269 0
-265 267 269 0
-265 -267 -269 0
4 20 -270 0
4 -20 -270 0
-4 20 -270 0
-4 -20 270 0
195 270 -271 0
195 -270 -271 0
-195 270 -271 0
-195 -270 271 0
195 270 -272 0
195 -270 272 0
-195 270 272 0
-195 -270 -272 0
190 272 -273 0
190 -272 -273 0
-190 272 -273 0
-190 -272 273 0
190 272 -274 0
190 -272 274 0
-190 272 274 0
-190 -272 -274 0
271 273 -275 0
271 -273 275 0
-271 273 275 0
-271 -273 -275 0
5 20 -276 0
5 -20 -276 0
-5 20 -276 0
-5 -20 276 0
201 276 -277 0
201 -276 -277 0
-201 276 -277 0
-201 -276 277 0
201 276 -278 0
201 -276 278 0
-201 276 278 0
-201 -276 -278 0
196 278 -279 0
196 -278 -279 0
-196 278 -279 0
-196 -278 279 0
196 278 -280 0
196 -278 280 0
-196 278 280 0
-196 -278 -280 0
277 279 -281 0
277 -279 281 0
-277 279 281 0
-277 -279 -281 0
6 20 -282 0
6 -20 -282 0
-6 20 -282 0
-6 -20 282 0
207 282 -283 0
207 -282 -283 0
-207 282 -283 0
-207 -282 283 0
207 282 -284 0
207 -282 284 0
-207 282 284 0
-207 -282 -284 0
202 284 -285 0
202 -284 -285 0
-202 284 -285 0
-202 -284 285 0
202 284 -286 0
202 -284 286 0
-202 284 286 0
-202 -284 -286 0
283 285 -287 0
283 -285 287 0
-283 285 287 0
-283 -285 -287 0
7 20 -288 0
7 -20 -288 0
-7 20 -288 0
-7 -20 288 0
213 288 -289 0
213 -288 -289 0
-213 288 -289 0
-213 -288 289 0
213 288 -290 0
213 -288 290 0
-213 288 290 0
-213 -288 -290 0
208 290 -291 0
208 -290 -291 0
-208 290 -291 0
-208 -290 291 0
208 290 -292 0
208 -290 292 0
-208 290 292 0
-208 -290 -292 0
289 291 -293 0
289 -291 293 0
-289 291 293 0
-289 -291 -293 0
8 20 -294 0
8 -20 -294 0
-8 20 -294 0
-8 -20 294 0
219 294 -295 0
219 -294 -295 0
-219 294 -295 0
-219 -294 295 0
219 294 -296 0
219 -294 296 0
-219 294 296 0
-219 -294 -296 0
214 296 -297 0
214 -296 -297 0
-214 296 -297 0
-214 -296 297 0
214 296 -298 0
214 -296 298 0
-214 296 298 0
-214 -296 -298 0
295 297 -299 0
295 -297 299 0
-295 297 299 0
-295 -297 -299 0
9 20 -300 0
9 -20 -300 0
-9 20 -300 0
-9 -20 300 0
225 300 -301 0
225 -300 -301 0
-225 300 -301 0
-225 -300 301 0
225 300 -302 0
225 -300 302 0
-225 300 302 0
-225 -300 -302 0
220 302 -303 0
220 -302 -303 0
-220 302 -303 0
-220 -302 303 0
220 302 -304 0
220 -302 304 0
-220 302 304 0
-220 -302 -304 0
301 303 -305 0
301 -303 305 0
-301 303 305 0
-301 -303 -305 0
10 20 -306 0
10 -20 -306 0
-10 20 -306 0
-10 -20 306 0
231 306 -307 0
231 -306 -307 0
-231 306 -307 0
-231 -306 307 0
231 306 -308 0
231 -306 308 0
-231 306 308 0
-231 -306 -308 0
226 308 -309 0
226 -308 -309 0
-226 308 -309 0
-226 -308 309 0
226 308 -310 0
226 -308 310 0
-226 308 310 0
-226 -308 -310 0
307 309 -311 0
307 -309 311 0
-307 309 311 0
-307 -309 -311 0
11 20 -312 0
11 -20 -312 0
-11 20 -312 0
-11 -20 312 0
237 312 -313 0
237 -312 -313 0
-237 312 -313 0
-237 -312 313 0
237 312 -314 0
237 -312 314 0
-237 312 314 0
-237 -312 -314 0
232 314 -315 0
232 -314 -315 0
-232 314 -315 0
-232 -314 315 0
232 314 -316 0
232 -314 316 0
-232 314 316 0
-232 -314 -316 0
313 315 -317 0
313 -315 317 0
-313 315 317 0
-313 -315 -317 0
12 20 -318 0
12 -20 -318 0
-12 20 -318 0
-12 -20 318 0
243 318 -319 0
243 -318 -319 0
-243 318 -319 0
-243 -318 319 0
243 318 -320 0
243 -318 320 0
-243 318 320 0
-243 -318 -320 0
238 320 -321 0
238 -320 -321 0
-238 320 -321 0
-238 -320 321 0
238 320 -322 0
238 -320 322 0
-238 320 322 0
-238 -320 -322 0
319 321 -323 0
319 -321 323 0
-319 321 323 0
-319 -321 -323 0
13 20 -324 0
13 -20 -324 0
-13 20 -324 0
-13 -20 324 0
249 324 -325 0
249 -324 -325 0
-249 324 -325 0
-249 -324 325 0
249 324 -326 0
249 -324 326 0
-249 324 326 0
-249 -324 -326 0
244 326 -327 0
244 -326 -327 0
-244 326 -327 0
-244 -326 327 0
244 326 -328 0
244 -326 328 0
-244 326 328 0
-244 -326 -328 0
325 327 -329 0
325 -327 329 0
-325 327 329 0
-325 -327 -329 0
14 20 -330 0
14 -20 -330 0
-14 20 -330 0
-14 -20 330 0
251 330 -331 0
251 -330 -331 0
-251 330 -331 0
-251 -330 331 0
251 330 -332 0
251 -330 332 0
-251 330 332 0
-251 -330 -332 0
250 332 -333 0
250 -332 -333 0
-250 332 -333 0
-250 -332 333 0
250 332 -334 0
250 -332 334 0
-250 332 334 0
-250 -332 -334 0
331 333 -335 0
331 -333 335 0
-331 333 335 0
-331 -333 -335 0
15 20 -336 0
15 -20 -336 0
-15 20 -336 0
-15 -20 336 0
1 21 -337 0
1 -21 -337 0
-1 21 -337 0
-1 -21 337 0
262 337 -338 0
262 -337 -338 0
-262 337 -338 0
-262 -337 338 0
262 337 -339 0
262 -337 339 0
-262 337 339 0
-262 -337 -339 0
257 339 -340 0
257 -339 -340 0
-257 339 -340 0
-257 -339 340 0
257 339 -341 0
257 -339 341 0
-257 339 341 0
-257 -339 -341 0
338 340 -342 0
338 -340 342 0
-338 340 342 0
-338 -340 -342 0
2 21 -343 0
2 -21 -343 0
-2 21 -343 0
-2 -21 343 0
268 343 -344 0
268 -343 -344 0
-268 343 -344 0
-268 -343 344 0
268 343 -345 0
268 -343 345 0
-268 343 345 0
-268 -343 -345 0
263 345 -346 0
263 -345 -346 0
-263 345 -346 0
-263 -345 346 0
263 345 -347 0
263 -345 347 0
-263 345 347 0
-263 -345 -347 0
344 346 -348 0
344 -346 348 0
-344 346 348 0
-344 -346 -348 0
3 21 -349 0
3 -21 -349 0
-3 21 -349 0
-3 -21 349 0
274 349 -350 0
274 -349 -350 0
-274 349 -350 0
-274 -349 350 0
274 349 -351 0
274 -349 351 0
-274 349 351 0
-274 -349 -351 0
269 351 -352 0
269 -351 -352 0
-269 351 -352 0
-269 -351 352 0
269 351 -353 0
269 -351 353 0
-269 351 353 0
-269 -351 -353 0
350 352 -354 0
350 -352 354 0
-350 352 354 0
-350 -352 -354 0
4 21 -355 0
4 -21 -355 0
-4 21 -355 0
-4 -21 355 0
280 355 -356 0
280 -355 -356 0
-280 355 -356 0
-280 -355 356 0
280 355 -357 0
280 -355 357 0
-280 355 357 0
-280 -355 -357 0
275 357 -358 0
275 -357 -358 0
-275 357 -358 0
-275 -357 358 0
275 357 -359 0
275 -357 359 0
-275 357 359 0
-275 -357 -359 0
356 358 -360 0
356 -358 360 0
-356 358 360 0
-356 -358 -360 0
5 21 -361 0
5 -21 -361 0
-5 21 -361 0
-5 -21 361 0
286 361 -362 0
286 -361 -362 0
-286 361 -362 0
-286 -361 362 0
286 361 -363 0
286 -361 363 0
-286 361 363 0
-286 -361 -363 0
281 363 -364 0
281 -363 -364 0
-281 363 -364 0
-281 -363 364 0
281 363 -365 0
281 -363 365 0
-281 363 365 0
-281 -363 -365 0
362 364 -366 0
362 -364 366 0
-362 364 366 0
-362 -364 -366 0
6 21 -367 0
6 -21 -367 0
-6 21 -367 0
-6 -21 367 0
292 367 -368 0
292 -367 -368 0
-292 367 -368 0
-292 -367 368 0
292 367 -369 0
292 -367 369 0
-292 367 369 0
-292 -367 -369 0
287 369 -370 0
287 -369 -370 0
-287 369 -370 0
-287 -369 370 0
287 369 -371 0
287 -369 371 0
-287 369 371 0
-287 -369 -371 0
368 370 -372 0
368 -370 372 0
-368 370 372 0
-368 -370 -372 0
7 21 -373 0
7 -21 -373 0
-7 21 -373 0
-7 -21 373 0
298 373 -374 0
298 -373 -374 0
-298 373 -374 0
-298 -373 374 0
298 373 -375 0
298 -373 375 0
-298 373 375 0
-298 -373 -375 0
293 375 -376 0
293 -375 -376 0
-293 375 -376 0
-293 -375 376 0
293 375 -377 0
293 -375 377 0
-293 375 377 0
-293 -375 -377 0
374 376 -378 0
374 -376 378 0
-374 376 378 0
-374 -376 -378 0
8 21 -379 0
8 -21 -379 0
-8 21 -379 0
-8 -21 379 0
304 379 -380 0
304 -379 -380 0
-304 379 -380 0
-304 -379 380 0
304 379 -381 0
304 -379 381 0
-304 379 381 0
-304 -379 -381 0
299 381 -382 0
299 -381 -382 0
-299 381 -382 0
-299 -381 382 0
299 381 -383 0
299 -381 383 0
-299 381 383 0
-299 -381 -383 0
380 382 -384 0
380 -382 384 0
-380 382 384 0
-380 -382 -384 0
9 21 -385 0
9 -21 -385 0
-9 21 -385 0
-9 -21 385 0
310 385 -386 0
310 -385 -386 0
